source,category,qid,type,question,optionA,optionB,optionC,optionD,optionE,optionF,correct,feedback,tags
hlthcr,Medicare vs. Medicaid,Q-CON-001,tf,"Medicare eligibility is based mainly on age (65 and older), while Medicaid eligibility is based mainly on income.",,,,,,,True,"Medicare is primarily for people 65+, whereas Medicaid eligibility is based on income and household size.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-002,tf,Medicaid is primarily intended for people with low income.,,,,,,,True,"Medicaid provides health coverage to eligible low-income adults, children, pregnant women, elderly adults, and people with disabilities.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-003,tf,Medicare's basic rules are set separately by each individual state.,,,,,,,False,"Medicare is a purely federal program administered nationwide by CMS, so its basic rules are the same in every state.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-004,tf,Medicaid is funded jointly by the federal government and the states.,,,,,,,True,Medicaid is a joint federal-state program; the federal share is set by the Federal Medical Assistance Percentage (FMAP).,basic
hlthcr,Medicare vs. Medicaid,Q-CON-005,tf,"Medicare is administered nationwide by CMS, a federal agency within HHS.",,,,,,,True,"Medicare is administered by the Centers for Medicare & Medicaid Services (CMS), a federal agency within HHS.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-006,tf,Original Medicare is the main program that pays for long-term nursing home (custodial) care.,,,,,,,False,"Medicaid, not Medicare, is the primary payer for long-term services and supports; Original Medicare generally does not cover long-term custodial care.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-007,tf,Medicaid is the primary payer for long-term services and supports in the United States.,,,,,,,True,"Medicaid is the nation's primary payer for long-term services and supports (LTSS), including nursing home care.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-008,tf,"Parts A, B, C, and D are all parts of Medicare.",,,,,,,True,"Medicare has four parts: A (hospital), B (medical), C (Medicare Advantage), and D (prescription drugs).",basic
hlthcr,Medicare vs. Medicaid,Q-CON-009,tf,"Medicaid is divided into Part A and Part B, just like Medicare.",,,,,,,False,Medicaid does not use the lettered Part A/B/C/D structure; that structure belongs to Medicare. Medicaid's companion program for children is CHIP.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-010,tf,Medicare Part C (Medicare Advantage) plans are offered by private companies approved by Medicare.,,,,,,,True,Medicare Advantage (Part C) is an alternative to Original Medicare offered by Medicare-approved private companies.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-011,tf,CHIP provides low-cost health coverage to children.,,,,,,,True,The Children's Health Insurance Program (CHIP) provides low-cost coverage to children in families that earn too much for Medicaid but cannot afford private insurance.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-012,tf,A person can be enrolled in both Medicare and Medicaid at the same time.,,,,,,,True,"People enrolled in both programs are called 'dually eligible' individuals, so a person can have both at once.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-013,tf,"For someone enrolled in both programs, Medicaid pays first and Medicare pays last.",,,,,,,False,"For dual eligibles, Medicare pays first for services it covers and Medicaid is generally the payer of last resort.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-014,tf,Medicare Part B requires a monthly premium.,,,,,,,True,Medicare Part B (Medical Insurance) requires a monthly premium; for 2026 the standard premium is $202.90.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-015,tf,"Because Medicaid is run by the states, eligibility and covered benefits can vary from state to state.",,,,,,,True,"Each state administers its own Medicaid program within federal rules, so eligibility details and benefits can vary by state.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-016,mc,Which program is primarily for people age 65 and older?,Medicare,Medicaid,CHIP,The Health Insurance Marketplace,,,A,Medicare is the federal program primarily for people age 65 and older.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-017,mc,Which program bases eligibility mainly on a person's income?,Medicare,Medicaid,Medicare Part C,Medicare Part D,,,B,Medicaid eligibility is based mainly on income and household size.,basic
