source,category,qid,type,question,optionA,optionB,optionC,optionD,optionE,optionF,correct,feedback,tags
hlthcr,1. Who Pays for Healthcare?,Q-PAY-001,tf,Medicare Part A primarily covers hospital stays.,,,,,,,True,"Medicare Part A is Hospital Insurance and covers inpatient hospital stays, skilled nursing facility care, hospice care, and some home health services.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-002,tf,Medicaid is a purely federal program with no state involvement in funding.,,,,,,,False,Medicaid is jointly funded by the federal government and state governments. The federal share is determined by the Federal Medical Assistance Percentage (FMAP).,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-003,tf,Commercial health insurance is the most common form of health coverage in the United States.,,,,,,,True,Commercial (private) health insurance is indeed the most common form of health coverage in the United States.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-004,tf,"Under HIPAA, health plans are classified as covered entities.",,,,,,,True,"Under HIPAA, health plans are one of the three categories of covered entities, alongside healthcare providers and clearinghouses.",HIPAA;basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-005,tf,Medicare Part B does not require enrollees to pay a monthly premium.,,,,,,,False,"Medicare Part B does require a monthly premium. For 2026, the standard Part B premium is $202.90 per month.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-006,mc,What is a payor in healthcare?,A patient who receives medical treatment,An entity responsible for paying healthcare providers for services delivered to patients,A government agency that licenses doctors,A hospital that provides inpatient care,,,B,A payor (also spelled payer) is an entity responsible for paying healthcare providers for services delivered to patients.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-007,mc,Which of the following is a government healthcare payor?,Aetna,Medicare,Blue Cross Blue Shield,UnitedHealthcare,,,B,"Medicare is a federal health insurance program administered by CMS, making it a government payor.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-008,mc,Which three broad categories do healthcare payors fall into?,"Government programs, commercial insurance, and self-pay","Medicare, Medicaid, and TRICARE","Hospitals, clinics, and pharmacies","HMO, PPO, and EPO",,,A,"Healthcare payors fall into three broad categories: government programs (such as Medicare and Medicaid), commercial (private) insurance, and self-pay.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-009,mc,Which federal agency administers the Medicare program?,Food and Drug Administration (FDA),Centers for Disease Control and Prevention (CDC),Centers for Medicare & Medicaid Services (CMS),National Institutes of Health (NIH),,,C,"Medicare is administered by the Centers for Medicare & Medicaid Services (CMS), a federal agency within the U.S. Department of Health and Human Services.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-010,mc,What does Medicare Part B cover?,Inpatient hospital stays and hospice care,Prescription drug coverage,"Doctors' services, outpatient care, and preventive services",Dental and vision care only,,,C,"Medicare Part B (Medical Insurance) covers doctors' services, outpatient hospital care, durable medical equipment, and preventive services such as screenings and vaccinations.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-011,mc,What primarily determines Medicaid eligibility?,Age and employment status,Income and household size,Military service history,Number of years of U.S. citizenship,,,B,"Medicaid eligibility is based on income and household size rather than age, and people can apply at any time during the year.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-012,mc,Which type of commercial health insurance plan typically requires a referral to see a specialist?,PPO (Preferred Provider Organization),HMO (Health Maintenance Organization),EPO (Exclusive Provider Organization),POS (Point of Service),,,B,An HMO (Health Maintenance Organization) usually requires you to choose a primary care doctor and get referrals to see specialists.,basic
